id,from_asset,to_asset,milestone_year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,AT_E_Demand,DE_E_Demand,2050,1,1,4,7,0.0,0.0
2,AT_E_Demand,DE_E_Demand,2050,1,5,8,8,0.0,0.0
3,AT_E_Demand,DE_E_Demand,2050,1,9,12,9,0.0,-0.0
4,AT_E_Demand,DE_E_Demand,2050,1,13,16,10,0.0,-0.0
5,AT_E_Demand,DE_E_Demand,2050,1,17,20,11,0.0,0.0
6,AT_E_Demand,DE_E_Demand,2050,1,21,24,12,0.0,0.0
7,BG_E_Demand,GR_E_Demand,2050,1,1,4,211,0.0,4505.413299929448
8,BG_E_Demand,GR_E_Demand,2050,1,5,8,212,0.0,4505.413299929449
9,BG_E_Demand,GR_E_Demand,2050,1,9,12,213,0.0,-0.0
10,BG_E_Demand,GR_E_Demand,2050,1,13,16,214,0.0,-0.0
11,BG_E_Demand,GR_E_Demand,2050,1,17,20,215,0.0,4505.413299929446
12,BG_E_Demand,GR_E_Demand,2050,1,21,24,216,0.0,4505.413299929448
13,CH_E_Demand,FR_E_Demand,2050,1,1,4,289,0.0,0.0
14,CH_E_Demand,FR_E_Demand,2050,1,5,8,290,0.0,-0.0
15,CH_E_Demand,FR_E_Demand,2050,1,9,12,291,0.0,-0.0
16,CH_E_Demand,FR_E_Demand,2050,1,13,16,292,0.0,-0.0
17,CH_E_Demand,FR_E_Demand,2050,1,17,20,293,0.0,-0.0
18,CH_E_Demand,FR_E_Demand,2050,1,21,24,294,0.0,0.0
19,CY_E_Demand,GR_E_Demand,2050,1,1,4,349,0.0,0.0
20,CY_E_Demand,GR_E_Demand,2050,1,5,8,350,0.0,-0.0
21,CY_E_Demand,GR_E_Demand,2050,1,9,12,351,0.0,-0.0
22,CY_E_Demand,GR_E_Demand,2050,1,13,16,352,0.0,-0.0
23,CY_E_Demand,GR_E_Demand,2050,1,17,20,353,0.0,-0.0
24,CY_E_Demand,GR_E_Demand,2050,1,21,24,354,0.0,0.0
25,CZ_E_Demand,DE_E_Demand,2050,1,1,4,397,0.0,-1.6635581800983346e-12
26,CZ_E_Demand,DE_E_Demand,2050,1,5,8,398,0.0,-0.0
27,CZ_E_Demand,DE_E_Demand,2050,1,9,12,399,0.0,-0.0
28,CZ_E_Demand,DE_E_Demand,2050,1,13,16,400,0.0,-0.0
29,CZ_E_Demand,DE_E_Demand,2050,1,17,20,401,0.0,-0.0
30,CZ_E_Demand,DE_E_Demand,2050,1,21,24,402,0.0,0.0
31,DE_E_Demand,NL_E_Demand,2050,1,1,1,511,0.0,0.0
32,DE_E_Demand,NL_E_Demand,2050,1,2,2,512,0.0,-0.0
33,DE_E_Demand,NL_E_Demand,2050,1,3,3,513,0.0,0.0
34,DE_E_Demand,NL_E_Demand,2050,1,4,4,514,0.0,-0.0
35,DE_E_Demand,NL_E_Demand,2050,1,5,5,515,0.0,0.0
36,DE_E_Demand,NL_E_Demand,2050,1,6,6,516,0.0,0.0
37,DE_E_Demand,NL_E_Demand,2050,1,7,7,517,0.0,0.0
38,DE_E_Demand,NL_E_Demand,2050,1,8,8,518,-0.0,0.0
39,DE_E_Demand,NL_E_Demand,2050,1,9,9,519,0.0,-0.0
40,DE_E_Demand,NL_E_Demand,2050,1,10,10,520,0.0,-0.0
41,DE_E_Demand,NL_E_Demand,2050,1,11,11,521,-0.0,0.0
42,DE_E_Demand,NL_E_Demand,2050,1,12,12,522,-0.0,0.0
43,DE_E_Demand,NL_E_Demand,2050,1,13,13,523,-0.0,0.0
44,DE_E_Demand,NL_E_Demand,2050,1,14,14,524,-0.0,0.0
45,DE_E_Demand,NL_E_Demand,2050,1,15,15,525,-0.0,0.0
46,DE_E_Demand,NL_E_Demand,2050,1,16,16,526,0.0,-0.0
47,DE_E_Demand,NL_E_Demand,2050,1,17,17,527,-0.0,0.0
48,DE_E_Demand,NL_E_Demand,2050,1,18,18,528,-0.0,0.0
49,DE_E_Demand,NL_E_Demand,2050,1,19,19,529,0.0,0.0
50,DE_E_Demand,NL_E_Demand,2050,1,20,20,530,0.0,0.0
51,DE_E_Demand,NL_E_Demand,2050,1,21,21,531,-0.0,0.0
52,DE_E_Demand,NL_E_Demand,2050,1,22,22,532,0.0,0.0
53,DE_E_Demand,NL_E_Demand,2050,1,23,23,533,0.0,0.0
54,DE_E_Demand,NL_E_Demand,2050,1,24,24,534,0.0,0.0
55,DK_E_Demand,NL_E_Demand,2050,1,1,1,823,0.0,-0.0
