year,timestep,NO_Hydro_Min_Storage_Level,CH_Pump_Hydro_Open_Min_Storage_Level,FR_Hydro_Reservoir_Min_Storage_Level,FI_Hydro_Reservoir_Min_Storage_Level,SE_Hydro_Reservoir_Min_Storage_Level,SK_Hydro_Reservoir_Min_Storage_Level,NO_Hydro_Max_Storage_Level,CH_Pump_Hydro_Open_Max_Storage_Level,FR_Hydro_Reservoir_Max_Storage_Level,FI_Hydro_Reservoir_Max_Storage_Level,SE_Hydro_Reservoir_Max_Storage_Level,SK_Hydro_Reservoir_Max_Storage_Level
2050,1,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,2,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,3,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,4,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,5,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,6,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,7,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,8,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,9,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,10,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,11,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,12,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,13,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,14,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,15,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,16,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,17,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,18,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,19,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,20,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,21,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,22,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,23,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,24,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,25,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,26,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,27,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,28,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,29,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,30,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,31,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,32,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,33,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,34,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,35,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,36,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,37,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,38,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,39,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,40,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,41,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,42,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,43,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,44,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,45,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,46,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,47,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,48,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,49,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,50,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,51,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,52,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,53,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,54,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,55,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,56,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,57,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,58,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,59,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,60,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,61,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,62,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,63,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,64,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,65,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,66,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,67,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,68,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,69,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,70,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,71,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,72,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,73,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,74,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,75,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,76,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,77,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,78,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,79,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,80,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,81,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,82,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,83,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,84,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,85,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,86,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,87,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,88,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,89,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,90,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,91,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,92,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,93,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,94,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,95,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,96,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,97,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,98,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,99,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,100,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,101,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,102,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,103,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
2050,104,0.546666667,0.510907075,0.32,0.339059675,0.214987835,0.555,0.898333333,0.823231883,0.79,0.777034358,0.904908653,0.888
