id,asset,year,scenario,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,1,1,380.9400617993934
2,AT_Hydro_Reservoir,2050,1,2,2,383.3801235987868
3,AT_Hydro_Reservoir,2050,1,3,3,385.8201853981802
4,AT_Hydro_Reservoir,2050,1,4,4,388.26024719757356
5,AT_Hydro_Reservoir,2050,1,5,5,389.2972767873465
6,AT_Hydro_Reservoir,2050,1,6,6,387.3615076486328
7,AT_Hydro_Reservoir,2050,1,7,7,389.80156944802627
8,AT_Hydro_Reservoir,2050,1,8,8,392.2416312474197
9,AT_Hydro_Reservoir,2050,1,9,9,394.68169304681317
10,AT_Hydro_Reservoir,2050,1,10,10,397.1217548462066
11,AT_Hydro_Reservoir,2050,1,11,11,399.56181664560006
12,AT_Hydro_Reservoir,2050,1,12,12,402.0018784449935
13,AT_Hydro_Reservoir,2050,1,13,13,404.44194024438696
14,AT_Hydro_Reservoir,2050,1,14,14,406.8820020437804
15,AT_Hydro_Reservoir,2050,1,15,15,409.32206384317385
16,AT_Hydro_Reservoir,2050,1,16,16,411.7621256425673
17,AT_Hydro_Reservoir,2050,1,17,17,414.20218744196075
18,AT_Hydro_Reservoir,2050,1,18,18,410.70857575234606
19,AT_Hydro_Reservoir,2050,1,19,19,400.8385102758565
20,AT_Hydro_Reservoir,2050,1,20,20,394.57813240803046
21,AT_Hydro_Reservoir,2050,1,21,21,388.32928710107717
22,AT_Hydro_Reservoir,2050,1,22,22,378.4592216245876
23,AT_Hydro_Reservoir,2050,1,23,23,372.1470049027629
24,AT_Hydro_Reservoir,2050,1,24,24,373.58910617126116
25,AT_Hydro_Reservoir,2050,1,25,25,368.5426790719929
26,AT_Hydro_Reservoir,2050,1,26,26,369.3306216830232
27,AT_Hydro_Reservoir,2050,1,27,27,367.73779484458134
28,AT_Hydro_Reservoir,2050,1,28,28,370.1778566439748
29,AT_Hydro_Reservoir,2050,1,29,29,372.61791844336824
30,AT_Hydro_Reservoir,2050,1,30,30,375.0579802427617
31,AT_Hydro_Reservoir,2050,1,31,31,373.50599040919815
32,AT_Hydro_Reservoir,2050,1,32,32,375.7925998009399
33,AT_Hydro_Reservoir,2050,1,33,33,373.51152136325516
34,AT_Hydro_Reservoir,2050,1,34,34,366.48108074154175
35,AT_Hydro_Reservoir,2050,1,35,35,357.335725644856
36,AT_Hydro_Reservoir,2050,1,36,36,350.73399686369476
37,AT_Hydro_Reservoir,2050,1,37,37,353.1740586630882
38,AT_Hydro_Reservoir,2050,1,38,38,355.61412046248165
39,AT_Hydro_Reservoir,2050,1,39,39,358.0541822618751
40,AT_Hydro_Reservoir,2050,1,40,40,358.57956731284503
41,AT_Hydro_Reservoir,2050,1,41,41,355.75373654766736
42,AT_Hydro_Reservoir,2050,1,42,42,348.4438097977287
43,AT_Hydro_Reservoir,2050,1,43,43,342.5811505956925
44,AT_Hydro_Reservoir,2050,1,44,44,337.93022338952153
45,AT_Hydro_Reservoir,2050,1,45,45,331.6669891135033
46,AT_Hydro_Reservoir,2050,1,46,46,335.1933438866023
47,AT_Hydro_Reservoir,2050,1,47,47,338.6176825274638
48,AT_Hydro_Reservoir,2050,1,48,48,341.06498715508394
49,AT_Hydro_Reservoir,2050,1,49,49,343.89716582756364
50,AT_Hydro_Reservoir,2050,1,50,50,346.3372276269571
51,AT_Hydro_Reservoir,2050,1,51,51,349.61880056725624
52,AT_Hydro_Reservoir,2050,1,52,52,348.9422562741827
53,AT_Hydro_Reservoir,2050,1,53,53,350.2753356254858
54,AT_Hydro_Reservoir,2050,1,54,54,352.71539742487926
55,AT_Hydro_Reservoir,2050,1,55,55,353.88811228106124
56,AT_Hydro_Reservoir,2050,1,56,56,348.0266965362913
57,AT_Hydro_Reservoir,2050,1,57,57,344.0666226564766
58,AT_Hydro_Reservoir,2050,1,58,58,338.33389673123406
59,AT_Hydro_Reservoir,2050,1,59,59,334.93412563914035
60,AT_Hydro_Reservoir,2050,1,60,60,337.3741874385338
61,AT_Hydro_Reservoir,2050,1,61,61,339.81424923792724
62,AT_Hydro_Reservoir,2050,1,62,62,342.36372392952353
63,AT_Hydro_Reservoir,2050,1,63,63,340.09998251431796
64,AT_Hydro_Reservoir,2050,1,64,64,335.31863113212967
65,AT_Hydro_Reservoir,2050,1,65,65,336.97366176044784
66,AT_Hydro_Reservoir,2050,1,66,66,339.4137235598413
67,AT_Hydro_Reservoir,2050,1,67,67,342.2271168404452
68,AT_Hydro_Reservoir,2050,1,68,68,338.27669626433317
69,AT_Hydro_Reservoir,2050,1,69,69,344.24408907903387
