from_asset,to_asset,carrier,is_transport,capacity
NL_E_Balance,BE_E_Balance,electricity,TRUE,1
DE_E_Balance,NL_E_Balance,electricity,TRUE,1
DE_E_Balance,BE_E_Balance,electricity,TRUE,1
FR_E_Balance,DE_E_Balance,electricity,TRUE,1
FR_E_Balance,BE_E_Balance,electricity,TRUE,1
DK_E_Balance,DE_E_Balance,electricity,TRUE,1
DK_E_Balance,NL_E_Balance,electricity,TRUE,1
UK_E_Balance,BE_E_Balance,electricity,TRUE,1
UK_E_Balance,DK_E_Balance,electricity,TRUE,1
UK_E_Balance,FR_E_Balance,electricity,TRUE,1
UK_E_Balance,NL_E_Balance,electricity,TRUE,1
IE_E_Balance,UK_E_Balance,electricity,TRUE,1
IE_E_Balance,FR_E_Balance,electricity,TRUE,1
CH_E_Balance,DE_E_Balance,electricity,TRUE,1
CH_E_Balance,FR_E_Balance,electricity,TRUE,1
AT_E_Balance,CH_E_Balance,electricity,TRUE,1
AT_E_Balance,DE_E_Balance,electricity,TRUE,1
LU_E_Balance,BE_E_Balance,electricity,TRUE,1
LU_E_Balance,DE_E_Balance,electricity,TRUE,1
LU_E_Balance,FR_E_Balance,electricity,TRUE,1
CZ_E_Balance,AT_E_Balance,electricity,TRUE,1
CZ_E_Balance,DE_E_Balance,electricity,TRUE,1
PL_E_Balance,DK_E_Balance,electricity,TRUE,1
PL_E_Balance,CZ_E_Balance,electricity,TRUE,1
PL_E_Balance,DE_E_Balance,electricity,TRUE,1
SE_E_Balance,DK_E_Balance,electricity,TRUE,1
SE_E_Balance,PL_E_Balance,electricity,TRUE,1
SE_E_Balance,DE_E_Balance,electricity,TRUE,1
NO_E_Balance,DK_E_Balance,electricity,TRUE,1
NO_E_Balance,NL_E_Balance,electricity,TRUE,1
NO_E_Balance,DE_E_Balance,electricity,TRUE,1
NO_E_Balance,SE_E_Balance,electricity,TRUE,1
NO_E_Balance,UK_E_Balance,electricity,TRUE,1
ES_E_Balance,FR_E_Balance,electricity,TRUE,1
PT_E_Balance,ES_E_Balance,electricity,TRUE,1
IT_E_Balance,FR_E_Balance,electricity,TRUE,1
IT_E_Balance,CH_E_Balance,electricity,TRUE,1
IT_E_Balance,AT_E_Balance,electricity,TRUE,1
MT_E_Balance,IT_E_Balance,electricity,TRUE,1
SI_E_Balance,AT_E_Balance,electricity,TRUE,1
SI_E_Balance,IT_E_Balance,electricity,TRUE,1
HU_E_Balance,AT_E_Balance,electricity,TRUE,1
HU_E_Balance,SI_E_Balance,electricity,TRUE,1
SK_E_Balance,CZ_E_Balance,electricity,TRUE,1
SK_E_Balance,HU_E_Balance,electricity,TRUE,1
SK_E_Balance,PL_E_Balance,electricity,TRUE,1
LT_E_Balance,SE_E_Balance,electricity,TRUE,1
LT_E_Balance,PL_E_Balance,electricity,TRUE,1
LV_E_Balance,LT_E_Balance,electricity,TRUE,1
EE_E_Balance,LV_E_Balance,electricity,TRUE,1
FI_E_Balance,EE_E_Balance,electricity,TRUE,1
FI_E_Balance,SE_E_Balance,electricity,TRUE,1
HR_E_Balance,HU_E_Balance,electricity,TRUE,1
HR_E_Balance,SI_E_Balance,electricity,TRUE,1
GR_E_Balance,IT_E_Balance,electricity,TRUE,1
BG_E_Balance,GR_E_Balance,electricity,TRUE,1
RO_E_Balance,BG_E_Balance,electricity,TRUE,1
RO_E_Balance,HU_E_Balance,electricity,TRUE,1
CY_E_Balance,GR_E_Balance,electricity,TRUE,1
OBZLL_E_Balance,NL_E_Balance,electricity,TRUE,1
OBZLL_E_Balance,UK_E_Balance,electricity,TRUE,1
