id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,hub,2030,1,1,1,6650.0
2,hub,2030,1,2,2,6650.0
3,hub,2030,1,3,3,6650.0
4,hub,2030,1,4,4,6650.0
5,hub,2030,1,5,5,6650.0
6,hub,2030,1,6,6,6650.0
7,hub,2030,1,7,7,6650.0
8,hub,2030,1,8,8,6650.0
9,hub,2030,1,9,9,6650.0
10,hub,2030,1,10,10,6650.0
11,hub,2030,1,11,11,6650.0
12,hub,2030,1,12,12,6650.0
13,hub,2030,1,13,13,6650.0
14,hub,2030,1,14,14,6650.0
15,hub,2030,1,15,15,6650.0
16,hub,2030,1,16,16,6650.0
17,hub,2030,1,17,17,6650.0
18,hub,2030,1,18,18,6650.0
19,hub,2030,1,19,19,6650.0
20,hub,2030,1,20,20,6650.0
21,hub,2030,1,21,21,6650.0
22,hub,2030,1,22,22,6650.0
23,hub,2030,1,23,23,6650.0
24,hub,2030,1,24,24,6650.0
25,hub,2030,2,1,1,400.0
26,hub,2030,2,2,2,400.0
27,hub,2030,2,3,3,400.0
28,hub,2030,2,4,4,400.0
29,hub,2030,2,5,5,400.0
30,hub,2030,2,6,6,400.0
31,hub,2030,2,7,7,400.0
32,hub,2030,2,8,8,400.0
33,hub,2030,2,9,9,400.0
34,hub,2030,2,10,10,400.0
35,hub,2030,2,11,11,400.0
36,hub,2030,2,12,12,400.0
37,hub,2030,2,13,13,400.0
38,hub,2030,2,14,14,400.0
39,hub,2030,2,15,15,400.0
40,hub,2030,2,16,16,400.0
41,hub,2030,2,17,17,400.0
42,hub,2030,2,18,18,400.0
43,hub,2030,2,19,19,400.0
44,hub,2030,2,20,20,400.0
45,hub,2030,2,21,21,400.0
46,hub,2030,2,22,22,400.0
47,hub,2030,2,23,23,400.0
48,hub,2030,2,24,24,400.0
49,hub,2030,3,1,1,1300.0
50,hub,2030,3,2,2,1300.0
51,hub,2030,3,3,3,1300.0
52,hub,2030,3,4,4,1300.0
53,hub,2030,3,5,5,1300.0
54,hub,2030,3,6,6,1300.0
55,hub,2030,3,7,7,1300.0
56,hub,2030,3,8,8,1300.0
57,hub,2030,3,9,9,1300.0
58,hub,2030,3,10,10,130.0
59,hub,2030,3,11,11,130.0
60,hub,2030,3,12,12,130.0
61,hub,2030,3,13,13,130.0
62,hub,2030,3,14,14,130.0
63,hub,2030,3,15,15,130.0
64,hub,2030,3,16,16,130.0
65,hub,2030,3,17,17,1300.0
66,hub,2030,3,18,18,1300.0
67,hub,2030,3,19,19,1300.0
68,hub,2030,3,20,20,1300.0
69,hub,2030,3,21,21,1300.0
70,hub,2030,3,22,22,1300.0
71,hub,2030,3,23,23,1300.0
72,hub,2030,3,24,24,1300.0
73,hub,2030,4,1,1,195.0
74,hub,2030,4,2,2,195.0
75,hub,2030,4,3,3,195.0
76,hub,2030,4,4,4,195.0
77,hub,2030,4,5,5,195.0
78,hub,2030,4,6,6,195.0
79,hub,2030,4,7,7,195.0
80,hub,2030,4,8,8,195.0
81,hub,2030,4,9,9,195.0
82,hub,2030,4,10,10,195.0
83,hub,2030,4,11,11,195.0
84,hub,2030,4,12,12,195.0
85,hub,2030,4,13,13,195.0
86,hub,2030,4,14,14,195.0
87,hub,2030,4,15,15,195.0
88,hub,2030,4,16,16,195.0
89,hub,2030,4,17,17,195.0
90,hub,2030,4,18,18,195.0
91,hub,2030,4,19,19,1950.0
92,hub,2030,4,20,20,1950.0
93,hub,2030,4,21,21,1950.0
94,hub,2030,4,22,22,1950.0
95,hub,2030,4,23,23,1950.0
96,hub,2030,4,24,24,1950.0
97,hub,2030,5,1,1,1950.0
98,hub,2030,5,2,2,195.0
99,hub,2030,5,3,3,1950.0
100,hub,2030,5,4,4,195.0
101,hub,2030,5,5,5,1950.0
102,hub,2030,5,6,6,195.0
103,hub,2030,5,7,7,1950.0
104,hub,2030,5,8,8,1950.0
105,hub,2030,5,9,9,195.0
106,hub,2030,5,10,10,195.0
