id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,hub,2030,1,1,1,50.0
2,hub,2030,1,2,2,50.0
3,hub,2030,1,3,3,50.0
4,hub,2030,1,4,4,50.0
5,hub,2030,1,5,5,50.0
6,hub,2030,1,6,6,50.0
7,hub,2030,1,7,7,50.0
8,hub,2030,1,8,8,50.0
9,hub,2030,1,9,9,50.0
10,hub,2030,1,10,10,50.0
11,hub,2030,1,11,11,50.0
12,hub,2030,1,12,12,50.0
13,hub,2030,1,13,13,50.0
14,hub,2030,1,14,14,50.0
15,hub,2030,1,15,15,50.0
16,hub,2030,1,16,16,50.0
17,hub,2030,1,17,17,50.0
18,hub,2030,1,18,18,50.0
19,hub,2030,1,19,19,50.0
20,hub,2030,1,20,20,50.0
21,hub,2030,1,21,21,50.0
22,hub,2030,1,22,22,50.0
23,hub,2030,1,23,23,50.0
24,hub,2030,1,24,24,50.0
25,hub,2030,1,25,25,5.0
26,hub,2030,1,26,26,5.0
27,hub,2030,1,27,27,5.0
28,hub,2030,1,28,28,5.0
29,hub,2030,1,29,29,5.0
30,hub,2030,1,30,30,5.0
31,hub,2030,1,31,31,5.0
32,hub,2030,1,32,32,5.0
33,hub,2030,1,33,33,5.0
34,hub,2030,1,34,34,5.0
35,hub,2030,1,35,35,5.0
36,hub,2030,1,36,36,5.0
37,hub,2030,1,37,37,5.0
38,hub,2030,1,38,38,5.0
39,hub,2030,1,39,39,5.0
40,hub,2030,1,40,40,5.0
41,hub,2030,1,41,41,5.0
42,hub,2030,1,42,42,5.0
43,hub,2030,1,43,43,5.0
44,hub,2030,1,44,44,5.0
45,hub,2030,1,45,45,5.0
46,hub,2030,1,46,46,5.0
47,hub,2030,1,47,47,5.0
48,hub,2030,1,48,48,5.0
49,hub,2030,1,49,49,5.0
50,hub,2030,1,50,50,5.0
51,hub,2030,1,51,51,5.0
52,hub,2030,1,52,52,5.0
53,hub,2030,1,53,53,5.0
54,hub,2030,1,54,54,5.0
55,hub,2030,1,55,55,5.0
56,hub,2030,1,56,56,5.0
57,hub,2030,1,57,57,5.0
58,hub,2030,1,58,58,5.0
59,hub,2030,1,59,59,5.0
60,hub,2030,1,60,60,5.0
61,hub,2030,1,61,61,5.0
62,hub,2030,1,62,62,5.0
63,hub,2030,1,63,63,5.0
64,hub,2030,1,64,64,5.0
65,hub,2030,1,65,65,5.0
66,hub,2030,1,66,66,5.0
67,hub,2030,1,67,67,5.0
68,hub,2030,1,68,68,5.0
69,hub,2030,1,69,69,5.0
70,hub,2030,1,70,70,5.0
71,hub,2030,1,71,71,5.0
72,hub,2030,1,72,72,5.0
73,hub,2030,1,73,73,5.0
74,hub,2030,1,74,74,5.0
75,hub,2030,1,75,75,5.0
76,hub,2030,1,76,76,5.0
77,hub,2030,1,77,77,5.0
78,hub,2030,1,78,78,5.0
79,hub,2030,1,79,79,5.0
80,hub,2030,1,80,80,5.0
81,hub,2030,1,81,81,5.0
82,hub,2030,1,82,82,5.0
83,hub,2030,1,83,83,5.0
84,hub,2030,1,84,84,5.0
85,hub,2030,1,85,85,50.0
86,hub,2030,1,86,86,50.0
87,hub,2030,1,87,87,50.0
88,hub,2030,1,88,88,50.0
89,hub,2030,1,89,89,50.0
90,hub,2030,1,90,90,50.0
91,hub,2030,1,91,91,50.0
92,hub,2030,1,92,92,50.0
93,hub,2030,1,93,93,50.0
94,hub,2030,1,94,94,50.0
95,hub,2030,1,95,95,50.0
96,hub,2030,1,96,96,50.0
97,hub,2030,1,97,97,5.0
98,hub,2030,1,98,98,5.0
99,hub,2030,1,99,99,5.0
100,hub,2030,1,100,100,5.0
101,hub,2030,1,101,101,5.0
102,hub,2030,1,102,102,5.0
103,hub,2030,1,103,103,50.0
104,hub,2030,1,104,104,50.0
105,hub,2030,1,105,105,50.0
106,hub,2030,1,106,106,50.0
107,hub,2030,1,107,107,50.0
108,hub,2030,1,108,108,50.0
109,hub,2030,1,109,109,50.0
110,hub,2030,1,110,110,50.0
111,hub,2030,1,111,111,50.0
112,hub,2030,1,112,112,50.0
113,hub,2030,1,113,113,50.0
